team season day ones twos threes fours fives teampower chance id territory territory_power
46 1 1 0 0 0 0 0 0 1 646 141 0
46 1 1 0 0 0 0 0 0 1 647 142 0
46 1 1 0 0 0 0 0 0 1 648 143 0
46 1 1 0 0 0 0 0 0 0 649 144 4
45 1 1 0 2 0 0 0 4 1 650 144 4
46 1 1 0 0 0 0 0 0 1 651 145 0
46 1 1 0 0 0 0 0 0 1 652 146 0
46 1 1 0 0 0 0 0 0 1 653 147 0
46 1 1 0 0 0 0 0 0 1 654 148 0
46 1 1 0 0 0 0 0 0 1 655 149 0
46 1 1 0 0 0 0 0 0 1 656 150 0
46 1 1 0 0 0 0 0 0 1 657 151 0
46 1 1 0 0 0 0 0 0 1 658 152 0
46 1 1 0 0 0 0 0 0 1 659 153 0
46 1 1 0 0 0 0 0 0 1 660 154 0
46 1 1 0 0 0 0 0 0 1 661 155 0
46 1 1 0 0 0 0 0 0 1 662 156 0
46 1 1 0 0 0 0 0 0 1 663 157 0
46 1 1 0 0 0 0 0 0 1 664 158 0
46 1 1 0 0 0 0 0 0 0 665 159 2
4 1 1 0 1 0 0 0 2 1 666 159 2
46 1 1 0 0 0 0 0 0 0 667 160 2
3 1 1 0 1 0 0 0 2 1 668 160 2
46 1 1 0 0 0 0 0 0 0 669 161 2
27 1 1 0 1 0 0 0 2 1 670 161 2
46 1 1 0 0 0 0 0 0 0 671 162 5
38 1 1 1 0 0 1 0 5 1 672 162 5
46 1 1 0 0 0 0 0 0 0 673 163 7
38 1 1 0 0 1 1 0 7 1 674 163 7
46 1 1 0 0 0 0 0 0 0 675 164 6
38 1 1 0 1 0 1 0 6 1 676 164 6
46 1 1 0 0 0 0 0 0 1 677 165 0
46 1 1 0 0 0 0 0 0 1 678 166 0
46 1 1 0 0 0 0 0 0 1 679 167 0
46 1 1 0 0 0 0 0 0 1 680 168 0
46 1 1 0 0 0 0 0 0 1 681 169 0
46 1 1 0 0 0 0 0 0 1 682 170 0
46 1 1 0 0 0 0 0 0 1 683 171 0
46 1 1 0 0 0 0 0 0 1 684 172 0
46 1 1 0 0 0 0 0 0 1 685 173 0
46 1 1 0 0 0 0 0 0 1 686 174 0
46 1 1 0 0 0 0 0 0 1 687 175 0
46 1 1 0 0 0 0 0 0 1 688 176 0
46 1 1 0 0 0 0 0 0 1 689 177 0
46 1 1 0 0 0 0 0 0 0 690 178 1
9 1 1 1 0 0 0 0 1 1 691 178 1
46 1 1 0 0 0 0 0 0 1 692 179 0
46 1 1 0 0 0 0 0 0 1 693 180 0
46 1 1 0 0 0 0 0 0 1 694 181 0
46 1 1 0 0 0 0 0 0 1 695 182 0
46 1 1 0 0 0 0 0 0 1 696 183 0
